Entity,Code,Year,cumulative
Australia,AUS,1900,96630672
Australia,AUS,1901,108069680
Australia,AUS,1902,119464720
Australia,AUS,1903,130683888
Australia,AUS,1904,142229152
Australia,AUS,1905,154276384
Australia,AUS,1906,168635600
Australia,AUS,1907,184112336
Australia,AUS,1908,200867808
Australia,AUS,1909,215421216
Australia,AUS,1910,232858192
Australia,AUS,1911,252097856
Australia,AUS,1912,272883728
Australia,AUS,1913,295274432
Australia,AUS,1914,319753616
Australia,AUS,1915,341547088
Australia,AUS,1916,360819728
Australia,AUS,1917,381579952
Australia,AUS,1918,404520256
Australia,AUS,1919,426258768
Australia,AUS,1920,451991040
Australia,AUS,1921,475143856
Australia,AUS,1922,499487472
Australia,AUS,1923,524336720
Australia,AUS,1924,551406352
Australia,AUS,1925,579641136
Australia,AUS,1926,607494864
Australia,AUS,1927,636389168
Australia,AUS,1928,662678368
Australia,AUS,1929,686333152
Australia,AUS,1930,708364784
Australia,AUS,1931,727912224
Australia,AUS,1932,748254752
Australia,AUS,1933,769835712
Australia,AUS,1934,792534192
Australia,AUS,1935,817764496
Australia,AUS,1936,844815808
Australia,AUS,1937,873673472
Australia,AUS,1938,901710400
Australia,AUS,1939,933854672
Australia,AUS,1940,962895536
Australia,AUS,1941,997443392
Australia,AUS,1942,1033947824
Australia,AUS,1943,1068939024
Australia,AUS,1944,1103149792
Australia,AUS,1945,1135847328
Australia,AUS,1946,1171270880
Australia,AUS,1947,1209288544
Australia,AUS,1948,1247712912
Australia,AUS,1949,1285364176
Australia,AUS,1950,1340108000
Australia,AUS,1951,1399142368
Australia,AUS,1952,1459349216
Australia,AUS,1953,1518790288
Australia,AUS,1954,1586636576
Australia,AUS,1955,1657318800
Australia,AUS,1956,1730356976
Australia,AUS,1957,1804882736
Australia,AUS,1958,1882500912
Australia,AUS,1959,1966209069
Australia,AUS,1960,2054327969
Australia,AUS,1961,2144831866
Australia,AUS,1962,2239655321
Australia,AUS,1963,2340589585
Australia,AUS,1964,2449465351
Australia,AUS,1965,2570318020
Australia,AUS,1966,2690537322
Australia,AUS,1967,2819681534
Australia,AUS,1968,2954178434
Australia,AUS,1969,3096302236
Australia,AUS,1970,3243782004
Australia,AUS,1971,3396411541
Australia,AUS,1972,3553747086
Australia,AUS,1973,3724574480
Australia,AUS,1974,3896763867
Australia,AUS,1975,4072477793
Australia,AUS,1976,4246552489
Australia,AUS,1977,4434157356
Australia,AUS,1978,4635977535
Australia,AUS,1979,4840847110
Australia,AUS,1980,5061378110
Australia,AUS,1981,5291510753
