"year","total_carbon_emissions_fossilfuel","Carbon emissions from gas fuel consumption","Carbon emissions from liquid fuel consumption","Carbon emissions from solid fuel consumption","Carbon emissions from cement production","Carbon emissions from gas flaring","capita"
1950,1630,97,423,1070,18,23,0.65  
1951,1767,115,479,1129,20,24,0.69  
1952,1795,124,504,1119,22,26,0.69  
1953,1841,131,533,1125,24,27,0.69  
1954,1865,138,557,1116,27,27,0.69  
1955,2042,150,625,1208,30,31,0.74  
1956,2177,161,679,1273,32,32,0.78  
1957,2270,178,714,1309,34,35,0.79  
1958,2330,192,731,1336,36,35,0.80  
1959,2454,206,789,1382,40,36,0.83  
1960,2569,227,849,1410,43,39,0.85  
1961,2580,240,904,1349,45,42,0.84  
1962,2686,263,980,1351,49,44,0.86  
1963,2833,286,1052,1396,51,47,0.89  
1964,2995,316,1137,1435,57,51,0.92  
1965,3130,337,1219,1460,59,55,0.94  
1966,3288,364,1323,1478,63,60,0.97  
1967,3393,392,1423,1448,65,66,0.98  
1968,3566,424,1551,1448,70,73,1.01  
1969,3780,467,1673,1486,74,80,1.05  
1970,4053,493,1839,1556,78,87,1.10  
1971,4208,530,1947,1559,84,88,1.12  
1972,4376,560,2057,1576,89,95,1.14  
1973,4614,588,2241,1581,95,110,1.18  
1974,4623,597,2245,1579,96,107,1.16  
1975,4596,604,2132,1673,95,92,1.13  
1976,4864,630,2314,1710,103,108,1.18  
1977,5016,650,2398,1756,108,104,1.19  
1978,5074,680,2392,1780,116,106,1.18  
1979,5357,721,2544,1875,119,98,1.23  
1980,5301,737,2422,1935,120,86,1.19  
1981,5138,755,2289,1908,121,65,1.14  
1982,5094,738,2196,1976,121,64,1.11  
1983,5075,739,2176,1977,125,58,1.08  
1984,5258,807,2199,2074,128,51,1.10  
1985,5417,835,2186,2216,131,49,1.12  
1986,5583,830,2293,2277,137,46,1.13  
1987,5725,892,2306,2339,143,44,1.14  
1988,5936,935,2412,2387,152,50,1.16  
1989,6066,982,2459,2428,156,41,1.16  
1990,6074,1026,2492,2359,157,40,1.14  
1991,6142,1051,2601,2284,161,45,1.14  
1992,6078,1085,2499,2290,167,36,1.11  
1993,6070,1117,2515,2225,176,37,1.09  
1994,6174,1133,2539,2278,186,39,1.09  
1995,6305,1151,2560,2359,197,39,1.10  
1996,6448,1198,2626,2382,203,40,1.11  
1997,6556,1197,2701,2409,209,40,1.11  
1998,6576,1224,2763,2343,209,36,1.10  
1999,6561,1258,2741,2310,217,35,1.08  
2000,6733,1289,2845,2327,226,46,1.10  
2001,6893,1316,2848,2445,237,47,1.11  
2002,6994,1342,2832,2518,252,49,1.11  
2003,7376,1397,2958,2695,276,48,1.16  
2004,7743,1443,3043,2906,298,54,1.20  
2005,8042,1485,3068,3108,320,60,1.23  
2006,8336,1534,3091,3293,356,62,1.26  
2007,8503,1562,3071,3422,382,66,1.27  
2008,8776,1630,3103,3587,388,69,1.30  
2009,8697,1584,3042,3590,415,66,1.27  
2010,9128,1696,3107,3812,446,67,1.32  
2011,9503,1756,3134,4055,494,64,1.36  
2012,9673,1783,3200,4106,519,65,1.36  
2013,9773,1806,3220,4126,554,68,1.36  
2014,9855,1823,3280,4117,568,68,1.36
